"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"27","Now available online #HoCoMD, be sure to check out @HoCoRec 2018 Winter Activity Guide before online registration f… https://t.co/vjgt7sf1zF",FALSE,2,NA,2017-11-30 17:59:48,TRUE,NA,"936293702946967553",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"28","May be no greater problem facing #HoCoMD, or the US, than the #OpioidEpidemic. YTD, #HoCoPolice have responded to 2… https://t.co/FZtwgjrpPb",FALSE,4,NA,2017-11-30 15:22:29,TRUE,NA,"936254111502209024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",3,FALSE,FALSE,NA,NA
"29","@HoCoGov constr proj to improve stormH2O drainage near 3483 Walker Dr, #EllicottCityMD #HoCoMD to begin on/abt 11/3… https://t.co/Zh9oyLlkUX",FALSE,0,"HoCoGov",2017-11-29 20:55:00,TRUE,NA,"935975404170555396","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"30","FINAL UPDATE #HoCoMD: Westbound MD 32 ramp onto southbound US 29 is now open. All lanes of southbound US 29 open as… https://t.co/dZafxCDztT",FALSE,2,NA,2017-11-29 19:04:56,TRUE,NA,"935947705280495617",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"31","#HoCoMD, @HoCoGov Bureau of Utilities reports a broken H2O main in the 8800 block of Mission Rd, Jessup. The break… https://t.co/nWNz70kC5d",FALSE,0,NA,2017-11-29 18:53:57,TRUE,NA,"935944938973483008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"32","UPDATE to previous TRAFFIC ALERT: All lanes of southbound US 29 at MD 32 are OPEN. However, the westbound MD 32 ram… https://t.co/iwERwCkxAU",FALSE,0,NA,2017-11-29 18:40:17,TRUE,NA,"935941500839645186",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"33","TRAFFIC ALERT #HoCoMD #ColumbiaMD. Southbound US 29 is CLOSED at MD 32. #HoCoPolice are motorists to pls avoid the… https://t.co/FkexhTb0Qm",FALSE,0,NA,2017-11-29 17:53:29,TRUE,NA,"935929722298667008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"34","From holiday model train gardens to Santa’s Workshop, Holiday Mart, Christmas in the Park, and a Teen Lock-In,… https://t.co/PhHsJWSYEA",FALSE,3,NA,2017-11-29 13:56:29,TRUE,NA,"935870082093322242",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"35","FYI #HoCoMD, starting nxt wk, @HoCoRec will begin installing shade structures over playgrounds at 4 @HoCoGov parks.… https://t.co/xXyHAUl5cu",FALSE,3,NA,2017-11-28 21:09:54,TRUE,NA,"935616766935527426",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",4,FALSE,FALSE,NA,NA
"36","Online sign-up to speak at @HoCoGovExec 1st Citizens’ Budget Hearing for FY2019 budget cycle is now available:… https://t.co/22TcQbt3ad",FALSE,0,NA,2017-11-28 17:58:43,TRUE,NA,"935568652321087489",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",3,FALSE,FALSE,NA,NA
