"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"208","Washington, DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"209","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"210","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"211","Howard County, Maryland U.S.A.","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"212","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"213","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"214","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"215","Savage, MD","Savage, MD, USA",-76.8217374,39.1378733,-76.8436689,-76.8046739,39.1342159,39.165379,1939
"216","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"217","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"218","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"219","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"220","Mount Airy, MD","Mt Airy, MD 21771, USA",-77.154704,39.3762145,-77.180206,-77.118814,39.358954,39.4025619,2916
"221","Mount Airy, MD","Mt Airy, MD 21771, USA",-77.154704,39.3762145,-77.180206,-77.118814,39.358954,39.4025619,2916
"222","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"223","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"224","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"225","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"226","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"227","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"228","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"229","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"230","North Laurel, MD","North Laurel, MD 20723, USA",-76.8705293,39.1389968,-76.9189239,-76.818226,39.10313,39.168562,5587
"231","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"232","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"233","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"234","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"235","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"236","Elkridge, MD","Elkridge, MD, USA",-76.7625073,39.1978788,-76.796716,-76.6973248,39.1798139,39.225603,3572
"237","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
